2017-03-05 11:19:31,476 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 11:19:31,476 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 11:30:52,283 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:30:52,283 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:30:52,283 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:30:52,293 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:37:11,558 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:37:11,558 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:37:11,568 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:37:11,568 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:37:12,638 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:37:12,638 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:37:12,638 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:37:12,638 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:37:19,877 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:37:19,877 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:37:19,877 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:37:19,877 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:38:00,463 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:38:00,463 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:38:00,473 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:38:00,473 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:38:08,580 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:38:08,580 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:38:08,580 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:38:08,580 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:38:36,250 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:38:36,250 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:38:36,250 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:38:36,250 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:38:42,139 [Worker-41] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 11:38:42,139 [Worker-41] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 14:27:12,170 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 14:27:12,180 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 14:27:12,185 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 14:27:13,859 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 14:27:13,859 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 14:27:13,862 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 14:27:13,864 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-16 00:28:09,149 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-16 00:28:09,159 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-16 00:28:47,156 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-16 00:28:47,166 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-16 00:28:47,176 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-16 00:28:48,248 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
